year,buyer_id,target_id,buyer_lat,buyer_long,target_lat,target_long,price,hhi_target,num_stations_buyer,population_target,corp_owner_buyer
2008,28,28,36.242371,-116.16057,38.741523,-116.85614,607866.07,87,1,43946,0
2008,29,29,29.83399,-95.434241,42.90659,-100.99313,1043503.4,232,6,5713,0
2008,30,30,41.362112,-78.726238,41.577991,-78.676457,1246125.4,43,1,31946,0
2008,31,31,33.786594,-118.29866,33.749038,-111.66853,15196652,388,15,3817117,0
2008,32,32,32.759437,-97.245612,33.28211,-98.166259,709177.08,372,10,9044,0
2008,33,33,36.729049,-119.77153,36.738722,-119.79443,4660306.5,82,0,930450,0
2008,34,34,43.626132,-84.33803,43.77032,-83.790625,329260.79,77,1,107771,0
2008,35,35,26.362566,-81.818279,36.485697,-84.113335,861143.6,87,2,40716,0
2008,36,36,32.811767,-83.565009,32.856256,-83.188732,1013110.1,41,2,9563,0
2008,37,37,40.343625,-74.693953,40.335592,-75.924701,22288423,80,30,411442,0
2008,38,38,32.436064,-90.13731,32.374577,-90.133598,3849818.4,72,3,245285,0
2008,39,39,40.262591,-103.84765,40.901495,-102.99932,177294.27,57,0,22709,0
2008,40,40,41.060196,-73.544477,33.894718,-78.306633,4052440.5,55,25,107431,0
2008,41,41,27.963896,-81.917604,32.774426,-79.939905,2330153.3,372,16,350209,0
2008,42,42,41.76695,-111.88508,43.376892,-112.1223,1114421.1,41,4,45607,0
2008,43,43,41.079983,-73.654472,34.153095,-77.789996,1013110.1,284,4,202667,0
2008,44,44,46.92536,-96.990615,45.943305,-97.11363,1995826.9,72,2,16321,0
2008,45,45,33.523355,-90.27757,35.810806,-106.68687,1418354.2,92,2,131561,0
2008,46,46,33.792005,-84.442778,34.945773,-84.752388,3241952.4,58,2,39628,0
2008,47,47,31.304166,-86.386398,31.428022,-86.431839,1266387.6,70,1,37765,0
2008,48,48,41.655798,-83.536833,41.850494,-83.175597,1013110.1,77,0,441815,0
2008,49,49,36.832324,-81.597841,36.900901,-81.494808,506555.06,127,2,32208,0
2008,50,50,38.82469,-104.56203,38.27087,-85.786112,3039330.4,98,0,741096,0
2008,51,51,39.609596,-79.967623,38.820973,-80.042884,1063765.6,34,16,29405,0
2008,52,52,35.294405,-118.90517,37.104785,-107.91985,253277.53,164,4,51334,0
2008,53,53,40.278498,-76.875207,40.10772,-77.782639,886471.35,80,2,149618,0
2008,54,54,31.489241,-87.052004,31.745025,-87.13881,253277.53,70,1,23068,0
